"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
6.521747924E0,-1.669125319E0,3.578319550E-1,4.875740051E0
6.541517976E0,-1.639908791E0,-1.440448761E-1,4.514299870E0
6.561289539E0,-1.611210227E0,-2.097419739E0,6.116523743E0
6.581059591E0,6.844122410E-1,-2.392207146E0,4.704084873E0
6.600831101E0,4.280136108E0,-1.611634254E0,7.199094772E0
6.620601153E0,6.395788193E0,-3.005145073E0,7.551626205E0
6.640372716E0,3.865701914E0,-2.866761208E0,8.439821243E0
6.660142768E0,-9.968004823E-1,-2.813089371E0,5.434697151E0
6.679914330E0,-5.780163765E0,-8.154510498E0,-1.818844557E0
6.699684382E0,-4.178136826E0,-6.339952469E0,-3.662744522E0
6.719455893E0,3.455658197E0,-7.606342316E0,-6.195199490E-2
6.739225945E0,2.294950247E0,-1.232367229E1,-1.634194970E0
6.758997507E0,-3.620450497E-1,-1.788292694E1,-6.772956848E0
6.778767559E0,6.762454510E-1,-1.580880833E1,-7.347892761E0
6.798539070E0,2.805109501E0,-9.456488609E0,-5.643809319E0
6.818309070E0,3.696162224E0,-7.247187614E0,-2.749894619E0
6.838080684E0,2.066911936E0,-5.862982750E0,-3.464647055E0
6.857850737E0,-2.309485376E-1,-1.726243973E0,-4.830841064E0
6.877622299E0,5.366897583E-2,4.647126198E0,-5.974700451E0
6.897392247E0,6.395987868E-1,9.066086769E0,-7.181025505E0
6.917163862E0,1.785446763E0,1.023641109E1,-8.661815643E0
6.936933914E0,7.797619104E-1,9.420063019E0,-1.028461647E1
6.956705476E0,9.004145861E-1,7.819575310E0,-1.012864399E1
6.976475424E0,2.236295938E-1,8.116258621E0,-9.161815643E0
6.996247039E0,-1.235523701E0,8.442047119E0,-8.902563095E0
7.016017091E0,-2.017778397E0,9.740499496E0,-7.818584919E0
7.035788653E0,-1.818111658E0,7.304846764E0,-1.677473783E0
7.055558601E0,-1.110459447E0,4.694475651E0,5.782614231E0
7.075330216E0,3.810558558E0,1.194819450E0,1.249707603E1
7.095100268E0,6.520351410E0,-2.595836639E0,1.213049889E1
7.114871778E0,3.467699289E0,-6.920867920E0,6.829366207E0
7.134641830E0,-1.713118672E0,-1.947422981E0,-3.444655180E0
7.154413393E0,1.072835732E1,-1.932655334E0,-4.821434021E0
7.174183341E0,2.429489899E1,-1.658600616E1,-1.565403175E1
7.193954955E0,-1.399824858E0,-1.510471153E1,1.214888954E1
7.213725007E0,-2.374512482E1,2.385514259E0,-1.667719269E1
7.233496518E0,-4.689431190E0,1.013597965E0,-6.911545277E0
7.253266570E0,2.033686876E0,-3.445621490E0,-1.113279724E1
7.273038080E0,2.368856192E0,-9.042687416E0,5.083847046E-1
7.292808080E0,-1.054292321E-1,-1.088594913E1,-6.438263416E0
7.312579695E0,1.715782762E0,-7.165377617E0,-3.866584301E0
7.332349643E0,1.213099241E0,-2.824667931E0,-1.636492014E0
7.352121257E0,1.037754893E0,1.524496078E0,-9.973100424E-1
7.371891205E0,7.380512953E-1,4.181676865E0,-7.324498892E-1
7.391662820E0,-1.157028794E0,4.393201828E0,-5.972453356E-1
7.411432872E0,-2.803930759E0,2.549057007E0,-1.287005186E0
7.431204382E0,-1.432119131E0,1.549367905E-1,-4.972784221E-1
7.450974434E0,-9.804226160E-1,4.772968292E-1,1.894298792E0
7.470745945E0,-2.021754742E0,2.063193798E0,4.848099232E0
7.490515997E0,-1.986017227E0,2.235859394E0,4.990690708E0
7.510287507E0,-3.509465694E0,1.082514763E0,1.094823122E0
7.530057559E0,-1.938347816E-1,6.928300858E-1,6.379586697E0
7.549829070E0,1.781090498E0,1.859300137E0,6.674700737E0
7.569599122E0,-1.268305540E0,1.226255417E0,5.869870186E0
7.589370632E0,-2.435002089E0,-1.281080246E-1,7.199818611E0
7.609140684E0,1.100932837E0,-2.208309174E0,5.787041664E0
7.628912195E0,3.859865665E0,-2.402779579E0,5.980256081E0
7.648682247E0,1.123873115E0,-9.696598053E-1,4.612674713E0
7.668453757E0,-2.928296089E0,-2.072944641E-1,4.875080585E-1
7.688223809E0,-6.711860657E0,-7.139546394E0,-6.835107803E-1
7.707995320E0,-6.953711033E0,-1.197629261E1,-1.769305944E0
7.727765372E0,-2.725678205E0,-8.057211876E0,-8.047136068E-1
7.747536882E0,-1.159523368E0,-5.798574448E0,-8.658375144E-1
7.767306934E0,-2.947945118E0,-8.635024071E0,-5.035306454E0
7.787078445E0,-2.143748760E0,-1.041137695E1,-4.504346371E0
7.806848497E0,1.642136574E-1,-1.182072067E1,-3.142809391E0
7.826620007E0,-1.887211323E0,-1.051429462E1,-2.536815882E0
7.846389955E0,-3.808493853E0,-6.361471176E0,-3.552860260E0
7.866161570E0,-5.251007080E0,-1.411971092E0,-3.679738045E0
7.885931518E0,-5.096523762E0,2.546343803E0,-4.173722267E0
7.905703132E0,-3.899837494E0,5.948648930E0,-3.341370106E0
7.925473132E0,-1.760169983E0,7.180817127E0,-3.937735081E0
7.945244643E0,-2.938555479E-1,6.033602238E0,-4.726910591E0
7.965014695E0,7.807223797E-1,5.446468830E0,-6.807379723E0
7.984786205E0,1.264308095E0,5.087663651E0,-8.803500175E0
8.004556153E0,1.329930186E0,5.239301205E0,-9.260396957E0
8.024327768E0,1.471187592E0,5.793321609E0,-8.439369202E0
8.044097716E0,1.877974987E0,6.044434071E0,-6.906391144E0
8.063869278E0,2.264642477E0,5.995950699E0,-5.186940670E0
8.083639330E0,2.190681934E0,6.011991024E0,-3.419692516E0
8.103410841E0,1.858654380E0,5.946445942E0,-1.442800283E0
