"Time (s),""Gyroscope x (rad/s)"",""Gyroscope y (rad/s)"",""Gyroscope z (rad/s)"""
3.101410893E0,5.850389600E-1,-4.789042473E-1,1.805053651E-1
3.121182403E0,1.248419046E0,-5.179984570E-1,-1.041952729E0
3.140952247E0,7.238540053E-2,2.461714447E-1,-5.392253995E-1
3.160723705E0,-1.176797271E0,-1.282168388E0,-7.469134927E-1
3.180493601E0,-3.808632791E-1,6.047387794E-2,-2.244863659E-1
3.200265059E0,-2.129108191E0,3.088596344E0,9.660549164E-1
3.220034955E0,-2.515774488E0,2.876632452E0,8.768712282E-1
3.239806414E0,-2.210350752E0,1.430604339E0,4.865398407E-1
3.259576309E0,-2.504779100E0,8.716790676E-1,9.214630723E-1
3.279347768E0,-2.841966867E0,1.194206357E0,9.923213720E-1
3.299117612E0,-2.964747190E0,1.673721433E0,5.219689608E-1
3.318889122E0,-2.788823128E0,1.538724303E0,1.374406368E-2
3.338658966E0,-2.658712626E0,8.545753360E-1,-3.939964995E-2
3.358430476E0,-2.569529057E0,8.643488884E-1,2.061609477E-1
3.378200320E0,-2.410708666E0,1.170383334E0,3.729222417E-1
3.397971830E0,-2.152931213E0,1.344474792E0,1.652341783E-1
3.417741674E0,-1.874384761E0,1.466033459E0,-7.238540053E-2
3.437513132E0,-1.513984919E0,1.254069448E0,-1.377460510E-1
3.457283028E0,-1.319735527E0,8.032641411E-1,-1.230857223E-1
3.477054487E0,-1.559187651E0,9.590302110E-1,-8.338065445E-2
3.496824382E0,-1.939134598E0,1.038440347E0,-1.194206402E-1
3.516595841E0,-1.764432311E0,6.035171151E-1,-3.203893900E-1
3.536365737E0,-1.220778227E0,3.494046330E-1,-4.101839364E-1
3.556137195E0,-7.956285477E-1,9.449806809E-1,-3.258870244E-1
3.575907091E0,-4.071297050E-1,1.167329073E0,-9.437590092E-2
3.595678549E0,-9.009996802E-2,6.413896084E-1,-8.246437646E-3
3.615448445E0,2.641914487E-1,4.886777997E-1,-1.175880954E-1
3.635219955E0,8.116632700E-1,6.554391384E-1,-2.953446507E-1
3.654989799E0,1.688229084E0,2.535016239E-1,-2.733541429E-1
3.674761309E0,2.506153584E0,-3.561239541E-1,-8.093725890E-2
3.694531153E0,3.032703876E0,-9.419264793E-1,1.750077456E-1
3.714302664E0,2.977727652E0,-9.193251133E-1,5.213581324E-1
3.734072559E0,3.046753407E0,-3.817795515E-1,6.777350307E-1
3.753844018E0,3.474957228E0,-2.144073844E-1,6.245913506E-1
3.773613914E0,3.368059158E0,-6.945333481E-1,1.224748790E-1
3.793385372E0,3.241002798E0,-1.516122937E0,-2.941229641E-1
3.813155268E0,3.448080063E0,-1.648676753E0,-2.611372173E-1
3.832926778E0,3.464572906E0,-2.145295620E0,-3.118375242E-1
3.852696674E0,3.294146538E0,-2.770192385E0,-4.150707126E-1
3.872468132E0,3.032703876E0,-3.017738104E0,-4.621059597E-1
3.892238028E0,2.395590305E0,-2.724989653E0,-6.577298045E-1
3.912009539E0,1.401741743E0,-2.142852068E0,-9.594883323E-1
3.931779382E0,6.161921620E-1,-1.718924165E0,-1.225817680E0
3.951550893E0,5.955760926E-2,-1.210699320E0,-1.143964171E0
3.971320789E0,-4.230117202E-1,-6.920899153E-1,-8.446490765E-1
3.991092299E0,-8.371661901E-1,-2.168507725E-1,-4.926483035E-1
4.010862143E0,-9.856020808E-1,2.504473627E-1,-1.298050433E-1
4.030633653E0,-6.221479177E-1,4.477510452E-1,-3.695625812E-2
4.050403549E0,1.435491070E-2,-5.326588154E-1,-9.498675168E-2
4.070175059E0,4.567610323E-1,-2.023736954E0,-2.171562016E-1
4.089944955E0,8.220477104E-1,-1.869192600E0,-4.144598544E-1
4.109716414E0,9.894198179E-1,-1.966928244E-1,-1.135412335E0
