"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.985375669E0,-6.065599918E0,-6.782299995E0,-1.549999975E-2
6.005228794E0,-1.139960003E1,-1.434739971E1,-8.487500191E0
6.025080357E0,-6.367699623E0,-4.664999962E0,5.847799778E0
6.044933482E0,-1.442499995E0,4.679500103E0,7.973699570E0
6.064786607E0,1.168099999E0,7.441399574E0,5.970900059E0
6.084638169E0,1.708999991E0,6.415799618E0,2.391499996E0
6.104491294E0,5.882999897E-1,1.470999956E0,-2.868999958E0
6.124344419E0,-3.454999924E-1,-3.233099937E0,-4.011799812E0
6.144197544E0,-3.640999794E-1,-5.245899677E0,-3.032399893E0
6.164055357E0,1.489300013E0,-5.299699783E0,-2.248299837E0
6.183902232E0,2.119699955E0,-3.328299999E0,-8.896999955E-1
6.203755357E0,2.579699993E0,-1.463099957E0,2.851999998E-1
6.223613169E0,3.808699846E0,-9.447999597E-1,-1.429799914E0
6.243460044E0,3.044499874E0,-6.089999676E-1,-2.320699930E0
6.263313169E0,1.618999958E0,-4.438999891E-1,3.394999802E-1
6.283164732E0,-6.692000031E-1,3.335999846E-1,2.420199871E0
6.303024107E0,-2.192499876E0,1.530399919E0,2.253399849E0
6.322870982E0,-3.127499819E0,1.481599927E0,-1.188999936E-1
6.342722544E0,-3.250099897E0,1.096000001E-1,-2.517099857E0
6.362575669E0,-1.901600003E0,-3.989000022E-1,-3.319899797E0
6.382428794E0,5.105000138E-1,-6.709999591E-2,-2.617399931E0
6.402281919E0,2.637099981E0,-1.229399920E0,-1.304700017E0
6.422133482E0,3.641999960E0,-3.290199995E0,3.576000035E-1
6.441986607E0,4.684999943E0,-6.086400032E0,1.561800003E0
6.461839732E0,4.576099873E0,-8.704299927E0,1.286800027E0
6.481691294E0,-5.554999709E-1,-6.686100006E0,3.170999885E-1
6.501544419E0,-3.905799866E0,-4.447199821E0,-1.969099998E0
6.521397544E0,-6.844699860E0,-3.912400007E0,-1.212299943E0
6.541250669E0,-5.736999989E0,-5.583499908E0,4.367599964E0
6.561102232E0,-7.168999672E0,-6.448899746E0,7.602099895E0
6.580955357E0,-6.640799999E0,-4.039199829E0,4.011799812E0
6.600808482E0,-2.124799967E0,-1.826299906E0,-5.282899857E0
6.620660044E0,4.138999879E-1,-3.378999829E-1,-2.690599918E0
6.640513169E0,2.230000019E0,1.150499940E0,6.620999575E-1
6.660366294E0,3.561399937E0,2.525699854E0,1.967799902E0
6.680217857E0,3.765100002E0,3.356999874E0,1.639199972E0
6.700070982E0,1.958499908E0,3.057999849E0,-8.406999707E-1
6.719928794E0,6.613999605E-1,2.819900036E0,-1.939700007E0
6.739775669E0,7.321000099E-1,2.971699953E0,-1.890499949E0
6.759628794E0,3.619000018E-1,4.022599697E0,-1.263199925E0
6.779481919E0,1.870999932E-1,5.547599792E0,-6.726999879E-1
6.799335044E0,7.119999528E-1,5.997399807E0,-1.006099939E0
