,timestamp,acc_x,acc_y,acc_z
73,1663314879635,1.518545,-9.961321,0.30209386
74,1663314879639,1.4706886,-9.925428,0.21595225
75,1663314879639,1.410868,-9.894321,0.06999006
76,1663314879644,1.3677973,-9.846465,-0.0020937198
77,1663314879644,1.343869,-9.784252,-0.10977074
78,1663314879649,1.2792628,-9.789038,-0.17437695
79,1663314879649,1.27687,-9.769895,-0.200698
80,1663314879654,1.2122638,-9.738789,-0.22462623
81,1663314879654,1.2553346,-9.760324,-0.24616162
82,1663314879658,1.2553346,-9.762716,-0.24137598
83,1663314879658,1.2433704,-9.769895,-0.21505493
84,1663314879663,1.2290136,-9.757931,-0.18634106
85,1663314879664,1.2409776,-9.765109,-0.1265205
86,1663314879668,1.27687,-9.779466,-0.054735817
87,1663314879668,1.3247265,-9.812965,0.021834506
88,1663314879673,1.3773686,-9.805787,0.14416756
89,1663314879673,1.4036896,-9.844072,0.27098715
90,1663314879678,1.4324034,-9.860822,0.37387854
91,1663314879678,1.4635102,-9.856036,0.49830532
92,1663314879683,1.4587245,-9.889536,0.61824554
93,1663314879683,1.4826528,-9.894321,0.7187441
94,1663314879688,1.5161523,-9.899107,0.81924266
95,1663314879688,1.5305092,-9.896714,0.92213404
96,1663314879693,1.5687944,-9.882358,0.99631155
97,1663314879693,1.5999011,-9.9015,1.0657034
98,1663314879698,1.6238292,-9.88475,1.0992029
99,1663314879698,1.6645073,-9.858429,1.1494522
100,1663314879703,1.6740786,-9.8727865,1.1736795
101,1663314879703,1.695614,-9.853643,1.1617154
102,1663314879708,1.7171494,-9.851251,1.154537
103,1663314879709,1.7362919,-9.836894,1.1303096
104,1663314879713,1.7362919,-9.846465,1.1039885
105,1663314879713,1.7123637,-9.8321085,1.0800604
106,1663314879718,1.7291135,-9.853643,0.98913306
107,1663314879718,1.7195421,-9.820144,0.96759766
108,1663314879724,1.7338991,-9.836894,0.9269197
109,1663314879724,1.7099708,-9.817751,0.86949193
110,1663314879729,1.7051853,-9.82493,0.7929216
111,1663314879729,1.7123637,-9.82493,0.7426723
112,1663314879733,1.6740786,-9.80818,0.68524456
113,1663314879733,1.6884354,-9.805787,0.6230312
114,1663314879738,1.6525432,-9.810573,0.56530434
115,1663314879738,1.6142579,-9.784252,0.503091
116,1663314879742,1.6262221,-9.796216,0.43609193
117,1663314879742,1.6238292,-9.796216,0.3906283
118,1663314879748,1.5879369,-9.779466,0.34037903
119,1663314879748,1.57358,-9.755538,0.27337998
120,1663314879752,1.5544374,-9.743574,0.24466611
121,1663314879752,1.5616158,-9.750752,0.22073789
122,1663314879758,1.5257236,-9.757931,0.21355942
123,1663314879758,1.5209379,-9.736395,0.2111666
124,1663314879762,1.5376877,-9.726525,0.22073789
125,1663314879762,1.5281163,-9.753145,0.21595225
126,1663314879769,1.5137594,-9.734002,0.24466611
127,1663314879769,1.5352948,-9.728918,0.27098715
128,1663314879773,1.5233307,-9.738789,0.3068795
129,1663314879773,1.5209379,-9.74836,0.33080772
