"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.426083284E0,-1.434574842E0,-4.186899662E0,-4.059080184E-1
2.445854534E0,-2.294036865E0,-3.095926523E0,-4.731011987E-1
2.465624118E0,-2.835247517E0,-5.717530251E-1,-1.827502251E0
2.485395316E0,-2.427201509E0,3.463504016E-1,-2.022362471E0
2.505164951E0,-1.789476991E0,-4.263713956E-1,-4.291202128E-1
2.524936149E0,-1.308740258E0,-1.174048424E0,9.660549164E-1
2.544705732E0,-8.750386834E-1,-2.675510943E-1,1.210393786E0
2.564476982E0,-1.249182671E-1,1.771457121E-2,5.738909841E-1
2.584246566E0,5.386145711E-1,-3.848337755E-2,3.814741075E-1
2.604017764E0,3.662029207E-1,-1.195428133E0,5.659499764E-1
2.623787399E0,-5.421269536E-1,-2.228370905E0,4.553866386E-1
2.643558597E0,-1.648982167E0,-1.278503299E0,-3.454341292E-1
2.663328232E0,-1.058292866E0,1.350583315E0,-1.587439299E0
2.683099430E0,1.008966923E0,3.220539570E0,-1.125027895E0
2.702869014E0,1.420067191E0,1.205201626E0,-2.107422985E-2
2.722640264E0,5.538857579E-1,-1.408002973E0,1.107771516E0
2.742409847E0,4.573718905E-1,-8.576295376E-1,1.355775476E0
2.762181045E0,-4.028537571E-1,-3.335226178E-1,1.074785709E0
2.781950680E0,-1.450456858E0,-6.902574003E-2,7.296570539E-1
2.801721878E0,-2.122999668E0,1.820935726E0,4.749337435E-1
2.821491514E0,-3.563377380E0,-4.141544402E-1,2.060693264E0
2.841262711E0,-4.459490299E0,-3.344541550E0,2.979407549E0
2.861032295E0,-3.842534781E0,-3.963329792E0,1.206728816E0
2.880803493E0,-2.425979853E0,-3.221150398E0,-2.702999115E-1
2.900573128E0,-6.642963886E-1,-1.529561520E0,-5.833591148E-2
2.920344326E0,-5.635066032E-1,-4.440859556E-1,6.392516494E-1
2.940113909E0,-1.105938911E0,-3.891097009E-1,1.071731567E0
2.959885159E0,-7.449282408E-1,-6.303943992E-1,8.420529366E-1
2.979654743E0,-6.514685750E-1,-1.214975238E0,4.932591617E-1
2.999425941E0,-1.073564053E0,-1.140451789E0,6.148177385E-1
3.019195576E0,-1.782757759E0,-1.321873426E0,4.413371384E-1
3.038966774E0,-1.634321809E0,-2.107423067E0,-3.533751369E-1
3.058736409E0,-1.725948930E0,-2.646190405E0,-8.959602118E-1
3.078507607E0,-1.577513099E0,-2.024347782E0,-1.896528006E0
3.098277191E0,-7.302678823E-1,-1.415943980E0,-2.765763760E0
3.118048389E0,-2.806843221E-1,-5.283828974E-1,-2.311293364E0
3.137818024E0,-5.763344169E-1,1.948602796E-1,-1.443890214E0
3.157589222E0,-3.894151151E-1,4.007157981E-1,-1.084712029E0
3.177358805E0,-1.798945218E-1,2.486148328E-1,-1.552621007E0
3.197130055E0,-9.526162744E-1,3.805578351E-1,-1.834221601E0
3.216899639E0,-1.838344812E0,1.263842940E0,-1.956391096E0
3.236670836E0,-2.746674776E0,4.489269257E0,-3.632555962E0
3.256440472E0,-5.470137000E-1,1.445264578E0,-2.948406935E0
3.276211670E0,2.092151791E-1,8.741224408E-1,-8.202151656E-1
3.295981253E0,-2.733541429E-1,-2.409792423E0,-2.238755226E-1
3.315752451E0,2.531961799E-1,-5.065298080E0,-2.501419485E-1
3.335522086E0,1.884311080E0,-5.828246593E0,-7.554653287E-1
3.355293284E0,2.320456028E0,-4.455672741E0,-8.739697337E-1
3.375062868E0,3.662029207E-1,1.349972486E-1,3.845283389E-1
3.394834066E0,-1.585454106E0,-4.410317242E-1,-2.412846684E-2
3.414603701E0,-2.154152870E0,7.146912813E-2,-1.024848938E0
3.434374899E0,-2.232646793E-1,-1.435491085E0,-4.688252807E-1
3.454144482E0,-1.076618314E0,1.750688195E0,2.690782249E-1
3.473915680E0,-2.190192938E0,-3.121429384E-1,-1.037676811E0
